com.mysql.jdbc.JDBC4PreparedStatement@1ad37f5c: SELECT id, userName, password, birth, siret FROM user WHERE userName = '18/5285'  AND password = '1'  Mon Apr 10 16:32:11 CEST 2023 
com.mysql.jdbc.JDBC4PreparedStatement@8e5b4f6: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'efrgnh'  AND password = 'zdefdgezrg'  Mon Apr 10 16:33:05 CEST 2023 
com.mysql.jdbc.JDBC4PreparedStatement@3f4e002e: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'tttttttttttttttttttttt'  AND password = 'zdefdgezrg'  Mon Apr 10 16:33:11 CEST 2023 
com.mysql.jdbc.JDBC4PreparedStatement@6f8b219a: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'szdf'  Mon Apr 10 16:37:25 CEST 2023 
com.mysql.jdbc.JDBC4PreparedStatement@7afb47b7: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'sdf'  AND password = 'dfgbzdv'  Mon Apr 10 16:38:27 CEST 2023 
com.mysql.jdbc.JDBC4PreparedStatement@3267a058: SELECT id, userName, password, birth, siret FROM user WHERE userName = '1'  AND password = '1'  Mon Apr 10 19:03:32 CEST 2023 
com.mysql.jdbc.JDBC4PreparedStatement@61b5b12f: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'reeee'  AND password = 'eee'  Mon Apr 10 19:05:41 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@3be0afc1: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'zdfgb'  AND password = 'zdfvb'  --- Tue Apr 11 17:51:18 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@4c25ec08: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'zdfgbrfgbhn'  AND password = 'zdfvb'  --- Tue Apr 11 17:51:26 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@49df7a41: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'zdfgbrfgbhn'  AND password = 'zdfvbszdfvc'  --- Tue Apr 11 17:51:30 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@37bec985: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'zdfgbrfgbhn'  AND password = 'zdfvbszdfvcsdcvfcd'  --- Tue Apr 11 17:51:34 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@1f601d7a: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Tue Apr 11 18:57:31 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@24e64fa1: INSERT INTO user ( id,  userName, password, birth, siret) VALUES (id,** NOT SPECIFIED **,** NOT SPECIFIED **,** NOT SPECIFIED **,** NOT SPECIFIED **) --- Tue Apr 11 19:03:58 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@2b072694: INSERT INTO user ( id,  userName, password, birth, siret) VALUES (id,** NOT SPECIFIED **,** NOT SPECIFIED **,** NOT SPECIFIED **,** NOT SPECIFIED **) --- Tue Apr 11 19:04:41 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@186197dd: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Tue Apr 11 19:05:04 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@5e76d8d: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Tue Apr 11 19:09:04 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@2e0c3d36: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Tue Apr 11 19:09:23 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@35e8f630: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Tue Apr 11 19:10:29 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@5922fdea: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Tue Apr 11 19:12:01 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@1da43e54: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Tue Apr 11 19:16:41 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@739268c: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Tue Apr 11 19:24:24 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@2e0c3d36: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Tue Apr 11 19:25:53 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@4e7b5110: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Tue Apr 11 19:27:23 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@aadd06a: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Tue Apr 11 19:33:30 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@407bff1: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Tue Apr 11 21:27:01 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@42440054: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Tue Apr 11 21:30:06 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@5e76d8d: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Tue Apr 11 21:34:43 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@1bb5a930: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Wed Apr 12 17:05:21 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@2d60c4b9: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Wed Apr 12 17:50:45 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@5e76d8d: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Wed Apr 12 17:51:44 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@5922fdea: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Wed Apr 12 17:53:14 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@739268c: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Wed Apr 12 17:59:06 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@35464fb6: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Wed Apr 12 18:03:35 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@130ac73a: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Wed Apr 12 18:04:41 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@680e23f0: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Wed Apr 12 18:05:31 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@aadd06a: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Wed Apr 12 18:10:21 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@5922fdea: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Wed Apr 12 18:12:18 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@5922fdea: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Wed Apr 12 18:12:43 CEST 2023
com.mysql.jdbc.JDBC4PreparedStatement@67f1432d: SELECT id, userName, password, birth, siret FROM user WHERE userName = 'a'  AND password = 'a'  --- Wed Apr 12 18:15:05 CEST 2023
